央视频道,#genre#
CCTV-1,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-HD-265-5M.m3u8&sign=sw6uk0
CCTV-1,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-AVS-4K264.m3u8&sign=sw6uk0
CCTV-2,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-2-HD-265-8M.m3u8&sign=sw6uk0
CCTV-3,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-3-HD-265-8M.m3u8&sign=sw6uk0
CCTV-3,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-3-AVS-4K264.m3u8&sign=sw6uk0
CCTV-4,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-4-HD-265-8M.m3u8&sign=sw6uk0
CCTV4K,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-4K-HD.m3u8&sign=sw6uk0
CCTV-5,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5-HD-265-5M.m3u8&sign=sw6uk0
CCTV-5,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5-AVS-4K264.m3u8&sign=sw6uk0
CCTV-5+,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5PLUS-HD-265-5M.m3u8&sign=sw6uk0
CCTV-6,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-6-HD-265-8M.m3u8&sign=sw6uk0
CCTV-6,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-6-AVS-4K264.m3u8&sign=sw6uk0
CCTV-7,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-7-HQ.m3u8&sign=sw6uk0
CCTV-8,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-8-HD-265-5M.m3u8&sign=sw6uk0
CCTV-8,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-8-AVS-4K264.m3u8&sign=sw6uk0
CCTV-9,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-9.m3u8&sign=sw6uk0
CCTV-10,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-10-HQ.m3u8&sign=sw6uk0
CCTV-11,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-11-HQ.m3u8&sign=sw6uk0
CCTV-12,http://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-cctv12.m3u8&sign=sw6uk0
CCTV-13,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-13-HQ.m3u8&sign=sw6uk0
CCTV-14,http://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-cctv14.m3u8&sign=sw6uk0
CCTV-15,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-15.m3u8&sign=sw6uk0
CCTV-16,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-16-CQ.m3u8&sign=sw6uk0
CCTV-17,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-17-HD.m3u8&sign=sw6uk0
CCTV-怀旧剧场,http://vip.taoiptv.cn/source/jsyd.php?id=G_HUAIJIUJC-CQ.m3u8&sign=sw6uk0
CCTV-风云足球,http://vip.taoiptv.cn/source/jsyd.php?id=G_FENGSHANGZQ-CQ.m3u8&sign=sw6uk0
CCTV-风云音乐,http://vip.taoiptv.cn/source/jsyd.php?id=G_FENGYUNYY-CQ.m3u8&sign=sw6uk0
CCTV-风云剧场,http://vip.taoiptv.cn/source/jsyd.php?id=G_FENGYUNJC-CQ.m3u8&sign=sw6uk0
CCTV-央视台球,http://vip.taoiptv.cn/source/jsyd.php?id=G_TAIQIU-CQ.m3u8&sign=sw6uk0
CCTV-世界地理,http://vip.taoiptv.cn/source/jsyd.php?id=G_SHIJIEDL-CQ.m3u8&sign=sw6uk0
CCTV-兵器科技,http://vip.taoiptv.cn/source/jsyd.php?id=G_BINGQIKJ-CQ.m3u8&sign=sw6uk0
CCTV-女性时尚,http://vip.taoiptv.cn/source/jsyd.php?id=G_NVXINGSS-CQ.m3u8&sign=sw6uk0
CCTV-高尔网球,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-GOLF-CQ.m3u8&sign=sw6uk0
CCTV-央视文化,http://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-WENHUA-CQ.m3u8&sign=sw6uk0
CCTV-电视指南,http://vip.taoiptv.cn/source/jsyd.php?id=G_DIANSHIZN-CQ.m3u8&sign=sw6uk0
